연도,월,지역,국가,관광객수
2011,1,미주,미국,125025
2011,1,미주,캐나다,11023
2011,1,미주,브라질,4117
2011,1,미주,도미니카공화국,158
2011,1,미주,자메이카,47
2011,1,미주,과테말라,1077
2011,1,미주,칠레,1402
2011,1,미주,코스타리카,341
2011,1,미주,페루,9680
2011,1,미주,에콰도르,28
2011,2,미주,미국,83156
2011,2,미주,캐나다,7838
2011,2,미주,브라질,4239
2011,2,미주,도미니카공화국,155
2011,2,미주,자메이카,31
2011,2,미주,과테말라,634
2011,2,미주,칠레,873
2011,2,미주,코스타리카,240
2011,2,미주,에콰도르,23
2011,3,미주,미국,74906
2011,3,미주,캐나다,8096
2011,3,미주,브라질,3613
2011,3,미주,도미니카공화국,223
2011,3,미주,자메이카,28
2011,3,미주,과테말라,570
2011,3,미주,칠레,1373
2011,3,미주,코스타리카,300
2011,3,미주,에콰도르,44
2011,4,미주,미국,74273
2011,4,미주,캐나다,9698
2011,4,미주,브라질,3348
2011,4,미주,도미니카공화국,153
2011,4,미주,자메이카,30
2011,4,미주,과테말라,694
2011,4,미주,칠레,716
2011,4,미주,코스타리카,298
2011,4,미주,에콰도르,37
2011,5,미주,미국,100492
2011,5,미주,캐나다,14521
2011,5,미주,브라질,4126
2011,5,미주,도미니카공화국,202
2011,5,미주,자메이카,46
2011,5,미주,과테말라,554
2011,5,미주,칠레,652
2011,5,미주,코스타리카,254
2011,5,미주,에콰도르,41
2011,6,미주,미국,109639
2011,6,미주,캐나다,18957
2011,6,미주,브라질,3443
2011,6,미주,도미니카공화국,252
2011,6,미주,자메이카,28
2011,6,미주,과테말라,676
2011,6,미주,칠레,550
2011,6,미주,코스타리카,360
2011,6,미주,에콰도르,35
2011,7,미주,미국,137088
2011,7,미주,캐나다,25302
2011,7,미주,브라질,3886
2011,7,미주,도미니카공화국,262
2011,7,미주,자메이카,45
2011,7,미주,과테말라,724
2011,7,미주,칠레,443
2011,7,미주,코스타리카,299
2011,7,미주,에콰도르,43
2011,8,미주,미국,129505
2011,8,미주,캐나다,17267
2011,8,미주,브라질,3818
2011,8,미주,도미니카공화국,231
2011,8,미주,자메이카,70
2011,8,미주,과테말라,854
2011,8,미주,칠레,578
2011,8,미주,코스타리카,283
2011,8,미주,에콰도르,51
2011,9,미주,미국,95192
2011,9,미주,캐나다,14739
2011,9,미주,브라질,3411
2011,9,미주,도미니카공화국,263
2011,9,미주,자메이카,49
2011,9,미주,과테말라,774
2011,9,미주,칠레,652
2011,9,미주,코스타리카,181
2011,9,미주,에콰도르,27
2011,10,미주,미국,93323
2011,10,미주,캐나다,10775
2011,10,미주,브라질,3034
2011,10,미주,도미니카공화국,202
2011,10,미주,자메이카,30
2011,10,미주,과테말라,1287
2011,10,미주,칠레,641
2011,10,미주,코스타리카,185
2011,10,미주,에콰도르,39
2011,11,미주,미국,86739
2011,11,미주,캐나다,7156
2011,11,미주,브라질,3984
2011,11,미주,도미니카공화국,164
2011,11,미주,자메이카,34
2011,11,미주,과테말라,626
2011,11,미주,칠레,933
2011,11,미주,코스타리카,284
2011,11,미주,에콰도르,39
2011,12,미주,미국,101859
2011,12,미주,캐나다,10311
2011,12,미주,브라질,3611
2011,12,미주,도미니카공화국,162
2011,12,미주,자메이카,39
2011,12,미주,과테말라,818
2011,12,미주,칠레,995
2011,12,미주,코스타리카,286
2011,12,미주,에콰도르,32
2012,1,미주,미국,123371
2012,1,미주,캐나다,9177
2012,1,미주,브라질,4199
2012,1,미주,도미니카공화국,226
2012,1,미주,자메이카,52
2012,1,미주,과테말라,936
2012,1,미주,칠레,1414
2012,1,미주,코스타리카,309
2012,1,미주,파나마,346
2012,1,미주,페루,10588
2012,1,미주,멕시코,4121
2012,1,미주,에콰도르,29
2012,2,미주,미국,91386
2012,2,미주,캐나다,8273
2012,2,미주,브라질,3973
2012,2,미주,도미니카공화국,154
2012,2,미주,자메이카,45
2012,2,미주,과테말라,532
2012,2,미주,칠레,1199
2012,2,미주,코스타리카,235
2012,2,미주,파나마,454
2012,2,미주,멕시코,3518
2012,2,미주,에콰도르,45
2012,3,미주,미국,84561
2012,3,미주,캐나다,7505
2012,3,미주,브라질,4698
2012,3,미주,도미니카공화국,252
2012,3,미주,자메이카,24
2012,3,미주,과테말라,614
2012,3,미주,칠레,1163
2012,3,미주,코스타리카,394
2012,3,미주,파나마,461
2012,3,미주,멕시코,4310
2012,3,미주,에콰도르,40
2012,4,미주,미국,88266
2012,4,미주,캐나다,7797
2012,4,미주,브라질,4148
2012,4,미주,도미니카공화국,165
2012,4,미주,자메이카,15
2012,4,미주,과테말라,782
2012,4,미주,칠레,947
2012,4,미주,코스타리카,313
2012,4,미주,파나마,372
2012,4,미주,멕시코,3321
2012,4,미주,에콰도르,32
2012,5,미주,미국,104367
2012,5,미주,캐나다,13057
2012,5,미주,브라질,4158
2012,5,미주,도미니카공화국,225
2012,5,미주,자메이카,25
2012,5,미주,과테말라,617
2012,5,미주,칠레,679
2012,5,미주,코스타리카,251
2012,5,미주,파나마,359
2012,5,미주,멕시코,3444
2012,5,미주,에콰도르,47
2012,6,미주,미국,116625
2012,6,미주,캐나다,17797
2012,6,미주,브라질,4899
2012,6,미주,도미니카공화국,245
2012,6,미주,자메이카,18
2012,6,미주,과테말라,718
2012,6,미주,칠레,907
2012,6,미주,코스타리카,238
2012,6,미주,파나마,378
2012,6,미주,멕시코,3933
2012,6,미주,에콰도르,38
2012,7,미주,미국,130245
2012,7,미주,캐나다,24004
