대표상품코드,판매상품코드,출발일자,요일,항공사,정상가격,성인가격,예약상태,잔여좌석수,가이드경비(USD),쇼핑횟수,호텔명,숙박일수,호텔등급,도시,상품구분,상품명,평점,리뷰수
MHJ-PRD20035WMXN,MHJ-PRD20035WMXN,상시,상시,정보없음(항공불포함),49900,49900,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,여행서비스,[나트랑] 프라이빗 근교 도시 간 이동 서비스 (나트랑·깜란 ↔ 판랑·달랏·무이네),,0
MHJ-PRD18B69PNBG,MHJ-PRD18B69PNBG,상시,상시,정보없음(항공불포함),24899,24899,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[나트랑] 나트랑 이발관 1호점 & 2호점 (토탈 케어 체험),,0
MHJ-PRD13A29UEIH,MHJ-PRD13A29UEIH,상시,상시,정보없음(항공불포함),26676,26676,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,나트랑 스노쿨링 호핑투어 니모트립 파티,,0
MHJ-PRD13A29OLKZ,MHJ-PRD13A29OLKZ,상시,상시,정보없음(항공불포함),37692,37692,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[나트랑] 릴렉싱 모닝투어 픽업샌딩 미니호텔 식사 해피비치,,0
MHJ-PRD226DEWSCU,MHJ-PRD226DEWSCU,상시,상시,정보없음(항공불포함),48862,48862,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[한국인전용] 나트랑 굿모닝 마사지 투어 (오전도착 항공편),,0
MHJ-PRD161FFYQXH,MHJ-PRD161FFYQXH,상시,상시,정보없음(항공불포함),30132,30132,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[나트랑] 나트랑 메모리 스냅 단독촬영 2시간,,0
MHJ-PRD13CE2QPF9,MHJ-PRD13CE2QPF9,상시,상시,정보없음(항공불포함),64900,64900,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[나트랑] 콩포레스트 ATV 산악 오토바이 & 짚라인 체험,,0
MHJ-PRD09FDDL9IX,MHJ-PRD09FDDL9IX,상시,상시,정보없음(항공불포함),27090,27090,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[나트랑] 메이플 스파 마사지 이용권 공항 픽업샌딩,,0
MHJ-PRD04FC9N2AK,MHJ-PRD04FC9N2AK,상시,상시,정보없음(항공불포함),7560,7560,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,여행서비스,[나트랑] 굿바이 스파패키지 마사지 공항샌딩 카풀 조인 차량,,0
MHJ-PRD41FF40LER,MHJ-PRD41FF40LER,상시,상시,정보없음(항공불포함),24901,24901,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[나트랑] 아오자이 시클로 헤리티지 감성 라이딩 투어 (#인생샷 #전통복장 #시내투어),,0
MHJ-PRD3FB9E2QSV,MHJ-PRD3FB9E2QSV,상시,상시,정보없음(항공불포함),140400,140400,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[나트랑->판랑] 판랑 당일 사막투어,,0
MHJ-PRD3D4F41X9E,MHJ-PRD3D4F41X9E,상시,상시,정보없음(항공불포함),37692,37692,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[나트랑] 나트랑 미니비치 단독 투어 스피드보트 왕복 픽업 샌딩 해양스포츠,,0
MHJ-PRD1AF57UKXJ,MHJ-PRD1AF57UKXJ,상시,상시,정보없음(항공불포함),160380,160380,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,골프,[베트남] 나트랑 골프 예약 나라 빈티엔 CC 18홀 골프장(Nara Binh Tein Golf),,0
MHJ-PRD13A29BAJC,MHJ-PRD13A29BAJC,상시,상시,정보없음(항공불포함),49572,49572,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[나트랑] 쿠킹클래스 하프데이 투어 로컬시장/로컬마을/픽업샌딩 포함,,0
MHJ-PRD0EBA61GVU,MHJ-PRD0EBA61GVU,상시,상시,정보없음(항공불포함),59400,59400,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[나트랑] 코코 바구니배 투어 #바구니배체험#현지식포함#이색체험#픽업포함,,0
MHJ-PRD449BEAQBP,MHJ-PRD449BEAQBP,상시,상시,정보없음(항공불포함),63550,63550,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[잘오고보자] 나트랑 굿모닝시티투어 & 공항픽업(#포나가르#대성당#롱선사#오전도착항공편),,0
MHJ-PRD2C385MBAU,MHJ-PRD2C385MBAU,상시,상시,정보없음(항공불포함),118800,118800,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,렌터카,[나트랑] 럭셔리 VIP 패밀리카 10인승 프라이빗 리무진 렌트카,,0
MHJ-PRD2C066QYDB,MHJ-PRD2C066QYDB,상시,상시,정보없음(항공불포함),14040,14040,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,여행서비스,[나트랑] 공항 입출국심사 VIP 패스트트랙 서비스(나트랑 깜라인 국제공항),,0
MHJ-PRD1FD16WROB,MHJ-PRD1FD16WROB,상시,상시,정보없음(항공불포함),31698,31698,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[나트랑] 아이리조트 머드온천 체험 투어 #단독차량 픽드랍 #워터파크 *성인요금기준,,0
MHJ-PRD1D794XPQW,MHJ-PRD1D794XPQW,상시,상시,정보없음(항공불포함),19900,19900,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[나트랑] 오드리스파 발마사지 (롯데마트 골든코스트점),,0
MHJ-PRD164532QGW,MHJ-PRD164532QGW,상시,상시,정보없음(항공불포함),13900,13900,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[나트랑] 양베이 테마파크 투어 + 핫스프링 수영장 (시내무료픽업/스타인월드),,0
MHJ-PRD163F3ANXT,MHJ-PRD163F3ANXT,상시,상시,정보없음(항공불포함),16900,16900,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[나트랑] 엘리스 스파 (시내 중심가 위치 / 발마사지. 전신마사지. 모든 케어 팁포함),,0
MHJ-PRD0ED99CM0Q,MHJ-PRD0ED99CM0Q,상시,상시,정보없음(항공불포함),21900,21900,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[나트랑] 마하미 스파 & 네일 (마사지. 이발소코스. 네일. 페디. 키즈),,0
MHJ-PRD09FDDW6KT,MHJ-PRD09FDDW6KT,상시,상시,정보없음(항공불포함),32292,32292,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,여행서비스,[나트랑] 웰컴 스파 패키지 공항픽업샌딩 마사지,,0
