대표상품코드,판매상품코드,출발일자,요일,항공사,정상가격,성인가격,예약상태,잔여좌석수,가이드경비(USD),쇼핑횟수,호텔명,숙박일수,호텔등급,도시,상품구분,상품명,평점,리뷰수
MHJ-PRD385A7U3U6,MHJ-PRD385A7U3U6,상시,상시,정보없음(항공불포함),58543,58543,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,트립,[다낭] 호이안 올드타운 체크아웃 단독 투어_#단독차량+#일정변경가능+#한국어가이드,3.5,2
MHJ-PRD13A8BENHR,MHJ-PRD13A8BENHR,상시,상시,정보없음(항공불포함),32000,32000,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,여행서비스,[다낭/호이안] 공항-호텔 픽업 (SUV.승합차 진행)_#24시간이용가능,,0
MHJ-PRD44892AB1M,MHJ-PRD44892AB1M,상시,상시,정보없음(항공불포함),19751,19751,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,트립,[다낭출발][단독투어] 바구니배 체험 & 올드타운 야경(소원초)+미노스파(9시간. 샤워실),5.0,1
MHJ-PRD385A7L232,MHJ-PRD385A7L232,상시,상시,정보없음(항공불포함),9900,9900,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,트립,[다낭] 호이안 렌트카 (안방비치 다낭시내 바구니배 선택가능),,0
MHJ-PRD09F76CNTA,MHJ-PRD09F76CNTA,상시,상시,정보없음(항공불포함),33000,33000,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,트립,[다낭]코코넛 마을 관광+바구니배 탑승_#단독투어+#호이안무료왕복픽업,,0
MHJ-PRD163F3LSOM,MHJ-PRD163F3LSOM,상시,상시,정보없음(항공불포함),19900,19900,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,입장권/패스,[다낭] 다낭국제공항 Fast Track 프리패스+공항픽업차량!_#호텔까지+#이동서비스!#입국서비스#출국서비스,,0
MHJ-PRD3ACB7O4DV,MHJ-PRD3ACB7O4DV,상시,상시,정보없음(항공불포함),11410,11410,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,여행서비스,[다낭] 실속단독 호이안 올드타운 왕복 차량 (야시장.구시가지.공항드랍가능),5.0,1
MHJ-PRD13A2340WI,MHJ-PRD13A2340WI,상시,상시,정보없음(항공불포함),199000,199000,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,트립,[다낭] 우리끼리~ 콤보투어! 4일 알찬 세미패키지와 자유여행을 한번에~,5.0,1
MHJ-PRD30E20J5HH,MHJ-PRD30E20J5HH,상시,상시,정보없음(항공불포함),109,109,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,입장권/패스,★하나투어 이용고객 전용★[다낭] 다낭 티라운지 짐보관 쿠폰#100원의 행복#1호점#2호점,,0
MHJ-PRD385A8LLN4,MHJ-PRD385A8LLN4,상시,상시,정보없음(항공불포함),18788,18788,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,입장권/패스,[다낭] 호이안 메모리즈쇼_#다낭공연_#전통_#역사,1.0,4
MHJ-PRD3ABEBNYWL,MHJ-PRD3ABEBNYWL,상시,상시,정보없음(항공불포함),79000,79000,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,렌터카,[다낭] 프라이빗 5성급 렌트카!! #친절한드라이버#최고만족도#보험가입#최신차량#정식허가차량,,0
MHJ-PRD22424GPBX,MHJ-PRD22424GPBX,상시,상시,정보없음(항공불포함),10670,10670,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,트립,[한국인가이드][다낭] 호이안 야경 버스투어 - #영흥사+#바구니배+#전동카+#소원초 - 일일투어,5.0,1
MHJ-PRD3ACB7FBUW,MHJ-PRD3ACB7FBUW,상시,상시,정보없음(항공불포함),57900,57900,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,트립,[다낭] 서핑&일출패들 한국인강사 미케비치  (보드 슈트대여. 사진) 짜릿서핑!,5.0,2
MHJ-PRD310DCZN9M,MHJ-PRD310DCZN9M,상시,상시,정보없음(항공불포함),157324,157324,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,골프,[다낭] 빈펄 남호이안 골프_Vinpearl NamHoian Golf,,0
MHJ-PRD13A29VYHS,MHJ-PRD13A29VYHS,상시,상시,정보없음(항공불포함),8820,8820,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,입장권/패스,[다낭] 베트남 다낭 국제공항 VIP 패스트트랙,,0
MHJ-PRD310DCAHCJ,MHJ-PRD310DCAHCJ,상시,상시,정보없음(항공불포함),161576,161576,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,골프,[다낭] 몽고메리 골프클럽_Montgomerie Links Golf Club,,0
